flow_id,flow_duration_ms,packet_count,byte_count,forward_packet_count,backward_packet_count,forward_byte_count,backward_byte_count,packet_rate_pps,byte_rate_bps,flow_start_time,flow_end_time,ether_type,vlan_present,vlan_priority,broadcast_frame,multicast_frame,ip_version,ttl,dscp,ecn,ip_packet_length,fragmented,ip_header_length,hop_limit,transport_protocol,source_port,destination_port,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_window_size,tcp_retransmissions,udp_packet_count,mean_iat_ms,std_iat_ms,min_iat_ms,max_iat_ms,forward_mean_iat_ms,backward_mean_iat_ms,flow_active_time_ms,flow_idle_time_ms,mean_packet_size,median_packet_size,min_packet_size,max_packet_size,std_packet_size,variance_packet_size,packet_size_range,packet_size_skewness,packet_size_kurtosis,coefficient_of_variation_packet_size,end_to_end_latency_ms,jitter_ms,packet_loss_rate,throughput_mbps,goodput_mbps,bandwidth_utilization_pct,queueing_delay_ms,retransmission_rate,link_utilization_pct,qos_satisfaction_score,service_type,application_name,slice_type,service_priority,network_load_pct,cell_load_pct,active_users,device_type,mobility_state,time_of_day,signal_strength_dbm,sinr_db,rsrp_dbm,rsrq_db,cqi,network_slice_id,slice_resource_utilization_pct,radio_resource_blocks_used,handover_in_progress,service_class,application_id,slice_type_label,priority_level,allocated_slice,sla_satisfied,reward_score
0c2f6232-e5e6-4fb7-9138-85f62e89b0b8,85155094.07761306,2060531,520370273,,,,,24.197389743025433,6110.853137502556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.53,,0.1,0.1,0.1,,,0.1,,healthcare,Health Monitoring,mMTC,3,80.98566996144709,65.62526888056668,270,sensor,pedestrian,day,-90.53578523702355,22.88738872330405,-90.53578523702355,-7.635287858359876,10,mMTC,86.76538703114537,42,False,healthcare,healthcare.health_monitoring,,,,False,
f346fa87-1625-4bc9-bdeb-605ae23a709e,1315049.231134367,819489,1040913594,,,,,623.1622213056658,791539.6393121022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74,,3.863,3.863,3.8629999999999995,,,3.8629999999999995,,healthcare,Telemedicine Consultation,URLLC,1,65.79456698704459,67.34238099653982,259,smartphone,pedestrian,day,-82.95962541900039,23.752431484292877,-82.95962541900039,-9.38754937061387,13,URLLC,81.03974920770708,127,False,healthcare,healthcare.telemedicine,,,,False,
533637a4-4cfa-46db-a447-6dc26a5185e5,344695.8291571055,228874,268530140,,,,,663.9883069072001,779035.0723166227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55,,2.664,2.664,2.664,,,2.664,,healthcare,Telemedicine Consultation,URLLC,1,79.73164209689772,85.23576141694566,201,smartphone,pedestrian,day,-81.03721210023546,11.420548995859194,-81.03721210023546,-11.59749483482008,10,URLLC,88.71639216620343,106,False,healthcare,healthcare.telemedicine,,,,False,
5e8f66f4-c69d-44f5-a35e-ee5ee4d6f2a3,598256.4760299728,298915,393478514,,,,,499.6435675608538,657708.7423969063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,3.031,3.031,3.031,,,3.031,,healthcare,Telemedicine Consultation,URLLC,1,74.49818251593344,73.97448451211571,288,smartphone,pedestrian,day,-89.70958265555974,18.107347352780536,-89.70958265555974,-14.565495570769029,13,URLLC,63.74478488559628,256,False,healthcare,healthcare.telemedicine,,,,False,
98d98a4e-c4ce-430e-a5ec-7c34c645c2c8,88173663.80552065,3002782,695588754,,,,,34.05531618401449,7888.849397232151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,,0.1,0.1,0.1,,,0.1,,healthcare,Health Monitoring,mMTC,3,78.80101578183067,85.73511660632488,358,sensor,pedestrian,day,-83.45295709486476,9.008136440424568,-83.45295709486476,-7.954281637850765,11,mMTC,66.83694826954641,94,False,healthcare,healthcare.health_monitoring,,,,False,
d95e60a4-7d65-4156-baa4-be8e27567dc3,85634472.28485036,2304042,592138251,,,,,26.905543276263167,6914.718292031512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.35,,0.1,0.1,0.1,,,0.1,,healthcare,Health Monitoring,mMTC,3,86.38294302537867,86.66209166888174,297,sensor,pedestrian,day,-85.9317939526313,11.578390137433866,-85.9317939526313,-6.658895733592496,11,mMTC,70.65812100682564,191,False,healthcare,healthcare.health_monitoring,,,,False,
ef801292-0d82-4b12-b0b3-f5c5af6555e0,281263.3609713264,108113,75487721,,,,,384.38351737900786,268388.03633979993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.09,,0.862,0.862,0.8619999999999999,,,0.8619999999999999,,healthcare,Pharmacy Services,eMBB,4,88.41636469281235,81.20088463116484,355,laptop,static,day,-84.31720245940583,18.169724660724548,-84.31720245940583,-12.551890748485738,10,eMBB,68.09843480352833,256,False,healthcare,healthcare.pharmacy,,,,False,
bf078d59-556c-438b-a62d-f2101e42695f,445074.565250196,248899,320417747,,,,,559.2298896255347,719919.2513540623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.99,,2.228,2.228,2.228,,,2.228,,healthcare,Telemedicine Consultation,URLLC,1,78.92374359436616,82.11535627474686,415,smartphone,pedestrian,day,-90.41903856071791,14.939967057299803,-90.41903856071791,-14.678997560959623,9,URLLC,68.03222627927109,74,False,healthcare,healthcare.telemedicine,,,,False,
dd27bd39-54f7-4ab4-9c1b-dc6df6320b9d,82392400.02870657,10678587,5734769180,,,,,129.60645637558127,69603.1330372159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.01,,0.287,0.287,0.287,,,0.287,,healthcare,ECG Streaming,URLLC,2,79.17950128696256,82.9478567679744,254,sensor,pedestrian,day,-87.08736197878672,18.094740756922775,-87.08736197878672,-5.854524102594565,12,URLLC,67.94640499494157,83,False,healthcare,healthcare.ecg_streaming,,,,False,
503a6b9d-1d56-42fc-9a1a-95dd5e46fb22,1759673.645969056,1066536,1118314147,,,,,606.0987515742763,635523.6100232926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.97,,2.85,2.85,2.85,,,2.85,,healthcare,Telemedicine Consultation,URLLC,1,78.47443224168227,83.67534529130644,309,smartphone,pedestrian,day,-87.01198989719205,29.945827342892425,-87.01198989719205,-12.806792408427167,13,URLLC,75.28578881029394,43,False,healthcare,healthcare.telemedicine,,,,False,
3e0cd4b6-5e07-428e-9302-2088e904e8c8,1227779.6285463693,816154,1050880889,,,,,664.7398124419822,855919.7963449982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.38,,3.345,3.345,3.345,,,3.345,,healthcare,Telemedicine Consultation,URLLC,1,86.52757274166665,68.82103298370653,240,smartphone,pedestrian,day,-83.07181938536053,21.109545423944816,-83.07181938536053,-11.152326883255,12,URLLC,74.04149663354032,84,False,healthcare,healthcare.telemedicine,,,,False,
53be3686-b21a-4085-96e8-57f4a894c01c,1774126.8460991147,2427971,1708949286,,,,,1368.5441970164275,963262.1763101943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68,,2.823,2.823,2.823,,,2.823,,healthcare,Ambulance Telemetry,URLLC,1,86.51949255586246,65.2870255485705,384,vehicle,vehicular,day,-81.36579261946851,13.870154178955941,-81.36579261946851,-9.630296695912048,9,URLLC,79.22885395739425,48,False,healthcare,healthcare.ambulance,,,,False,
2985ba72-5fd7-4a91-b256-9715b1f1bfa8,649186.3295415454,456745,553320069,,,,,703.5653389721758,852328.5913465752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75,,3.449,3.449,3.449,,,3.449,,healthcare,Telemedicine Consultation,URLLC,1,68.95394385861674,65.08113290254323,384,smartphone,pedestrian,day,-75.56223802259771,19.168996841295154,-75.56223802259771,-7.380378009479354,11,URLLC,63.19232468393115,180,False,healthcare,healthcare.telemedicine,,,,False,
48eb79cb-738c-4e1c-9ae9-4730fc5583c1,847248.2684551263,542382,686110414,,,,,640.1689093906089,809810.3477620465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89,,3.02,3.02,3.02,,,3.02,,healthcare,Telemedicine Consultation,URLLC,1,80.97373737165013,80.22425528595431,239,smartphone,pedestrian,day,-79.74978399849698,25.12978252987228,-79.74978399849698,-9.606209698803742,11,URLLC,75.91061016585533,20,False,healthcare,healthcare.telemedicine,,,,False,
72783f6a-c2b0-4d76-9870-b9db3cf9fc0f,89995150.08343284,2183440,534333099,,,,,24.261751860803315,5937.354388776737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.76,,0.1,0.1,0.1,,,0.1,,healthcare,Health Monitoring,mMTC,3,77.2151427007237,67.79669313302237,292,sensor,pedestrian,day,-90.21095379323883,20.48185276115602,-90.21095379323883,-12.59128407552767,11,mMTC,62.36271144874098,207,False,healthcare,healthcare.health_monitoring,,,,False,
20c955f6-8362-48be-aa55-f436b1546b30,1554212.237344052,1461301,1340726526,,,,,940.2197234640068,862640.5677253522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54,,3.219,3.219,3.2189999999999994,,,3.2189999999999994,,healthcare,Ambulance Telemetry,URLLC,1,66.73031296170959,84.01505413143079,396,vehicle,vehicular,day,-92.43217071000474,20.095679056888766,-92.43217071000474,-10.247176219012687,10,URLLC,67.95169886820177,243,False,healthcare,healthcare.ambulance,,,,False,
e04a47c8-35dd-4127-baae-eb0b681d1252,869183.1626364717,631530,806367407,,,,,726.5787317881259,927730.1293740246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,2.964,2.964,2.964,,,2.964,,healthcare,Telemedicine Consultation,URLLC,1,89.10907265018638,88.22283732505443,393,smartphone,pedestrian,day,-80.74102054361757,22.77711311204223,-80.74102054361757,-11.010077000025708,10,URLLC,71.20261507587881,250,False,healthcare,healthcare.telemedicine,,,,False,
c49bf037-2482-494a-b796-ac5d9abba2d8,85723002.17268261,1320643,383293228,,,,,15.40593500609863,4471.2996340112295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.98,,0.1,0.1,0.1,,,0.1,,healthcare,Health Monitoring,mMTC,3,68.02510489670664,70.61743342578893,286,sensor,pedestrian,day,-83.23382563085534,12.844782457934308,-83.23382563085534,-12.69885267403423,9,mMTC,62.12979258027097,181,False,healthcare,healthcare.health_monitoring,,,,False,
